ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1078,P,0.006532
1053_at,385.7,P,0.014937
117_at,156.1,A,0.250724
121_at,2183.8,P,0.008689
1255_g_at,67.2,A,0.339558
1294_at,1878.5,P,0.000219
1316_at,198.7,P,0.039365
1320_at,24.7,A,0.872355
1405_i_at,97.3,A,0.65838
1431_at,30.1,A,0.127645
1438_at,294.9,A,0.378184
1487_at,560.7,A,0.089405
1494_f_at,405.4,M,0.05447
1598_g_at,912.7,A,0.098054
160020_at,852.7,P,0.019304
1729_at,395.6,A,0.127645
1773_at,470.4,A,0.107301
177_at,237.9,A,0.127645
179_at,1052.3,A,0.089405
1861_at,236.4,A,0.250724
200000_s_at,2801,P,0.000244
200001_at,4377,P,0.000732
200002_at,14369.6,P,0.000244
200003_s_at,34320.3,P,0.000244
200004_at,5551.9,P,0.000244
200005_at,3956.2,P,0.000244
200006_at,4502.4,P,0.000244
200007_at,5386.8,P,0.000244
200008_s_at,10004.9,P,0.000244
200009_at,18708.7,P,0.000244
200010_at,22202.6,P,0.000244
200011_s_at,1781.5,P,0.001953
200012_x_at,19041.7,P,0.000244
200013_at,22897.2,P,0.000244
200014_s_at,2272.3,P,0.000244
200015_s_at,1979.9,P,0.000732
200016_x_at,22761.3,P,0.000244
200017_at,13500.6,P,0.000244
200018_at,24229.2,P,0.000244
200019_s_at,17879.9,P,0.000244
200020_at,1653,P,0.000244
200021_at,22599.4,P,0.001953
200022_at,23741.4,P,0.000732
200023_s_at,22327.9,P,0.000244
200024_at,15263.7,P,0.000732
200025_s_at,23497.8,P,0.000244
200026_at,28472,P,0.000732
200027_at,3101.3,P,0.000244
200028_s_at,2741.8,P,0.000244
200029_at,21527.3,P,0.000244
200030_s_at,8046.3,P,0.000244
200031_s_at,40107.5,P,0.000244
200032_s_at,33990,P,0.000244
200033_at,5855.4,P,0.000244
200034_s_at,15825.8,P,0.000244
200035_at,1909.2,P,0.030273
200036_s_at,18911.2,P,0.000244
200037_s_at,2676.2,P,0.000244
200038_s_at,27907.1,P,0.000244
200039_s_at,1920.4,P,0.000244
200040_at,3629.9,P,0.000244
200041_s_at,8434.5,P,0.000244
200042_at,1530.1,P,0.005859
200043_at,8422.3,P,0.000244
200044_at,3034.8,P,0.000244
200045_at,2021.6,P,0.000732
200046_at,2339.4,P,0.000244
200047_s_at,3879.6,P,0.000244
200048_s_at,4539.4,P,0.000244
200049_at,749.3,P,0.00293
200050_at,1656.3,P,0.000244
200051_at,570.4,P,0.010742
200052_s_at,3608,P,0.000244
200053_at,1202.1,P,0.001221
200054_at,223.3,P,0.037598
200055_at,2114.9,P,0.000244
200056_s_at,471.4,P,0.005859
200057_s_at,13838.9,P,0.000244
200058_s_at,2014.6,P,0.000244
200059_s_at,13590.8,P,0.000244
200060_s_at,2435.8,P,0.001953
200061_s_at,39873.2,P,0.000244
200062_s_at,40202.9,P,0.000244
200063_s_at,12582.4,P,0.000244
200064_at,14086.5,P,0.000732
200065_s_at,4661.7,P,0.000244
200066_at,1050.1,P,0.000732
200067_x_at,2634.8,P,0.000244
200068_s_at,5058.4,P,0.000244
200069_at,532.9,P,0.005859
200070_at,679.1,P,0.001221
200071_at,1050.1,P,0.008057
200072_s_at,3248,P,0.000244
200073_s_at,2720.9,P,0.000244
200074_s_at,12873.7,P,0.000244
200075_s_at,1392.5,P,0.000732
200076_s_at,1091.5,P,0.000732
200077_s_at,12720.3,P,0.000244
200078_s_at,2637.8,P,0.00415
200079_s_at,2795.6,P,0.000732
200080_s_at,13345,P,0.000244
200081_s_at,34227.1,P,0.000244
200082_s_at,21497.5,P,0.000244
200083_at,2230.3,P,0.00415
200084_at,2276.2,P,0.000244
200085_s_at,1610,P,0.001221
200086_s_at,2916.5,P,0.000244
200087_s_at,2658.7,P,0.000732
200088_x_at,29314.8,P,0.000732
200089_s_at,13949.8,P,0.000244
200090_at,2286.4,P,0.00293
200091_s_at,11683.2,P,0.000244
200092_s_at,21787.8,P,0.000244
200093_s_at,4206.2,P,0.000244
200094_s_at,11343.5,P,0.000244
200095_x_at,49561.1,P,0.000244
200096_s_at,2200.9,P,0.000244
200097_s_at,3555.1,P,0.000244
200098_s_at,1991.5,P,0.001953
200099_s_at,34773.8,P,0.000244
200593_s_at,2695.4,P,0.000244
200594_x_at,6796.6,P,0.000244
200595_s_at,2991.4,P,0.000244
200596_s_at,1610,P,0.000244
200597_at,699.8,P,0.000732
200598_s_at,1777.9,P,0.000244
200599_s_at,3767.7,P,0.000244
200600_at,9784.9,P,0.000244
200601_at,1263.8,P,0.001953
200602_at,374.2,P,0.000732
200603_at,1314.2,P,0.000244
200604_s_at,736.6,P,0.000244
200605_s_at,1439.1,P,0.000244
200606_at,97.3,A,0.095215
200607_s_at,1908.5,P,0.000732
200608_s_at,1747.6,P,0.000244
200609_s_at,2676.1,P,0.001953
200610_s_at,6250.1,P,0.000732
200611_s_at,2791.4,P,0.00293
200612_s_at,320.2,A,0.303711
200613_at,3937.4,P,0.001221
200614_at,5399.9,P,0.000244
200615_s_at,553.7,M,0.056152
200616_s_at,278.9,A,0.19458
200617_at,1485.2,P,0.005859
200618_at,2583.4,P,0.000244
200619_at,864.2,P,0.018555
200620_at,1887.4,P,0.000244
200621_at,685.4,P,0.023926
200622_x_at,1236.5,P,0.018555
200623_s_at,2282.7,P,0.000244
200624_s_at,3065.1,P,0.000244
200625_s_at,2895.1,P,0.000244
200626_s_at,2689.9,P,0.000244
200627_at,7045.6,P,0.000244
200628_s_at,78.5,A,0.780518
200629_at,531.2,P,0.008057
200630_x_at,6441.1,P,0.000244
200631_s_at,5502.5,P,0.000244
200632_s_at,1871.2,P,0.000244
200633_at,20676.1,P,0.001953
200634_at,9173.7,P,0.000244
200635_s_at,153.1,A,0.303711
200636_s_at,172.1,A,0.567627
200637_s_at,9.1,A,0.696289
200638_s_at,4290,P,0.000244
200639_s_at,3515.7,P,0.000244
200640_at,7266.3,P,0.000244
200641_s_at,4394.1,P,0.000244
200642_at,7106.1,P,0.000244
200643_at,743.1,A,0.067627
200644_at,5037.9,P,0.000244
200645_at,8215.5,P,0.000244
200646_s_at,436.8,P,0.001953
200647_x_at,2415.6,P,0.008057
200648_s_at,966.2,P,0.023926
200649_at,851.4,P,0.008057
200650_s_at,9284.7,P,0.000244
200651_at,26893.2,P,0.000244
200652_at,3068.4,P,0.000732
200653_s_at,2328.9,P,0.000244
200654_at,2226.9,P,0.01416
200655_s_at,3038.2,P,0.000244
200656_s_at,946.2,P,0.001953
200657_at,12416,P,0.000244
200658_s_at,1248.7,P,0.000244
200659_s_at,717.5,A,0.067627
200660_at,22.3,A,0.943848
200661_at,435.8,A,0.303711
200662_s_at,2467.1,P,0.000244
200663_at,1698.6,P,0.001953
200664_s_at,481.2,A,0.095215
200665_s_at,494.3,P,0.030273
200666_s_at,894.5,P,0.000244
200667_at,1642.4,P,0.000244
200668_s_at,4885.2,P,0.000244
200669_s_at,2707.2,P,0.000244
200670_at,9636.9,P,0.000244
200671_s_at,68,A,0.567627
200672_x_at,907.6,P,0.030273
200673_at,3821.1,P,0.000244
200674_s_at,47208.4,P,0.000244
200675_at,4084.2,P,0.000732
200676_s_at,284.4,P,0.008057
200677_at,2669,P,0.000244
200678_x_at,1329.7,P,0.008057
200679_x_at,5851.3,P,0.000244
200680_x_at,17514.4,P,0.000732
200681_at,3039.6,P,0.000244
200682_s_at,2496.2,P,0.000244
200683_s_at,1166.6,M,0.056152
200684_s_at,553,P,0.001953
200685_at,196.4,P,0.046143
200686_s_at,1287.9,P,0.000732
200687_s_at,841.2,P,0.008057
200688_at,357.3,P,0.023926
200689_x_at,27129.4,P,0.000244
200690_at,93.9,A,0.466064
200691_s_at,1321.9,P,0.000732
200692_s_at,946.8,P,0.000244
200693_at,5441,P,0.000244
200694_s_at,2317.9,P,0.000244
200695_at,1652.8,P,0.023926
200696_s_at,830.6,P,0.023926
200697_at,1275.5,P,0.023926
200698_at,835,P,0.000244
200699_at,411.2,P,0.023926
200700_s_at,2816.8,P,0.000244
200701_at,6042.5,P,0.000244
200702_s_at,387.4,A,0.095215
200703_at,4953.3,P,0.001953
200704_at,300.2,A,0.5
200705_s_at,16419.5,P,0.000244
200706_s_at,93.2,A,0.398926
200707_at,1025.4,P,0.001953
200708_at,1316.6,P,0.000732
200709_at,3204.5,P,0.000244
200710_at,1888.2,P,0.008057
200711_s_at,1225.8,P,0.000244
200712_s_at,716.9,P,0.000244
200713_s_at,3092.1,P,0.000732
200714_x_at,3364.2,P,0.000732
200715_x_at,14583.8,P,0.000244
200716_x_at,47415,P,0.000244
200717_x_at,37262.6,P,0.000244
200718_s_at,6778.9,P,0.000244
200719_at,402.2,A,0.095215
200720_s_at,1198.9,P,0.008057
200721_s_at,969.1,P,0.030273
200722_s_at,1915.7,P,0.000732
200723_s_at,3014.9,P,0.000244
200724_at,81.6,A,0.72583
200725_x_at,41340.4,P,0.000244
200726_at,1982.4,P,0.000732
200727_s_at,1409.5,P,0.010742
200728_at,3345.3,P,0.000244
200729_s_at,2407.1,P,0.000244
200730_s_at,484.3,P,0.000732
200731_s_at,605,P,0.00415
200732_s_at,1150.2,P,0.001221
200733_s_at,322.3,P,0.001953
200734_s_at,1067.1,P,0.00415
200735_x_at,19704.7,P,0.000244
