1007_s_at,1093.9,P,0.035163
1053_at,211.7,A,0.872355
117_at,451.3,A,0.715253
121_at,1484.9,P,0.02786
1255_g_at,165.8,A,0.67917
1294_at,1234.6,A,0.081337
1316_at,701.4,P,0.013092
1320_at,226.2,A,0.88284
1405_i_at,204.2,A,0.724538
1431_at,148.1,A,0.861235
1438_at,243.5,A,0.795978
1487_at,975.1,A,0.284747
1494_f_at,788.2,A,0.11716
1598_g_at,1738,A,0.302547
160020_at,1210.5,A,0.250724
1729_at,185.2,A,0.951005
1773_at,342.3,A,0.67917
177_at,388.4,A,0.418069
179_at,1689.2,A,0.284747
1861_at,244.4,A,0.795978
200000_s_at,2030,P,0.000244
200001_at,3208.2,P,0.023926
200002_at,8590.4,P,0.000244
200003_s_at,11529.4,P,0.000244
200004_at,4330.3,P,0.000244
200005_at,1653.7,P,0.000732
200006_at,2448.5,P,0.000732
200007_at,4546.9,P,0.000732
200008_s_at,3786.5,P,0.000244
200009_at,4428.2,P,0.000244
200010_at,10928.8,P,0.000732
200011_s_at,1659,A,0.095215
200012_x_at,8763.9,P,0.000244
200013_at,6478.9,P,0.001953
200014_s_at,1732.7,P,0.000732
200015_s_at,853.9,P,0.023926
200016_x_at,13311.6,P,0.000732
200017_at,6250.4,P,0.001953
200018_at,14700.2,P,0.001221
200019_s_at,10380.8,P,0.000244
200020_at,700.8,A,0.111572
200021_at,9608,P,0.01416
200022_at,8971.8,P,0.00293
200023_s_at,5255,P,0.000244
200024_at,5179.8,P,0.00415
200025_s_at,19908.8,P,0.000244
200026_at,19945.1,P,0.00293
200027_at,1486.2,P,0.000244
200028_s_at,1835.5,P,0.030273
200029_at,17458.5,P,0.000244
200030_s_at,2507.6,P,0.001953
200031_s_at,24505.1,P,0.000244
200032_s_at,31602.3,P,0.000244
200033_at,8412.1,P,0.000244
200034_s_at,8195,P,0.000244
200035_at,1138.2,A,0.149658
200036_s_at,10083.5,P,0.000244
200037_s_at,2237.4,P,0.00415
200038_s_at,13930.2,P,0.000244
200039_s_at,2187.5,P,0.008057
200040_at,1915.7,P,0.00415
200041_s_at,4898,P,0.000244
200042_at,792.7,A,0.149658
200043_at,4221.8,P,0.010742
200044_at,1714.7,P,0.01416
200045_at,1623.9,P,0.00415
200046_at,1389.5,P,0.005859
200047_s_at,1629,P,0.000732
200048_s_at,1892.6,P,0.037598
200049_at,1359.6,P,0.030273
200050_at,775.2,P,0.001953
200051_at,655,A,0.19458
200052_s_at,2229.2,P,0.00293
200053_at,1602,P,0.010742
200054_at,392.6,P,0.008057
200055_at,1738.4,P,0.00293
200056_s_at,308.3,A,0.27417
200057_s_at,7360.4,P,0.000244
200058_s_at,930.3,P,0.001953
200059_s_at,11280.4,P,0.000244
200060_s_at,2210.3,P,0.018555
200061_s_at,28181.2,P,0.000244
200062_s_at,20475.3,P,0.000244
200063_s_at,5600.9,P,0.000244
200064_at,5630.4,P,0.000732
200065_s_at,2912.3,P,0.001221
200066_at,717.5,A,0.111572
200067_x_at,2575.8,P,0.000244
200068_s_at,2250.6,P,0.001953
200069_at,740.2,P,0.005859
200070_at,375.8,A,0.601074
200071_at,700.4,A,0.095215
200072_s_at,2381.8,P,0.00415
200073_s_at,1939.4,P,0.001221
200074_s_at,2814.7,P,0.000244
200075_s_at,363.7,A,0.219482
200076_s_at,817.4,A,0.111572
200077_s_at,6075.7,P,0.000244
200078_s_at,1388.5,A,0.171387
200079_s_at,2229.2,P,0.001221
200080_s_at,9508.1,P,0.000244
200081_s_at,16975.7,P,0.000244
200082_s_at,11154.3,P,0.000244
200083_at,1598.4,P,0.018555
200084_at,1429.3,P,0.000244
200085_s_at,1090.7,A,0.095215
200086_s_at,2395.3,P,0.01416
200087_s_at,1475.7,P,0.000732
200088_x_at,7556.4,P,0.000244
200089_s_at,7524.2,P,0.000732
200090_at,929.4,P,0.01416
200091_s_at,4115.1,P,0.000732
200092_s_at,9602.8,P,0.000244
200093_s_at,1227.8,P,0.001221
200094_s_at,2857.9,P,0.046143
200095_x_at,33188,P,0.000244
200096_s_at,1926.5,P,0.018555
200097_s_at,1812.6,P,0.000244
200098_s_at,997.6,M,0.056152
200099_s_at,24050.6,P,0.000244
200593_s_at,2562.7,P,0.023926
200594_x_at,5840.2,P,0.000244
200595_s_at,936.5,P,0.000732
200596_s_at,324.1,A,0.80542
200597_at,707.3,A,0.219482
200598_s_at,588.3,A,0.067627
200599_s_at,1812.2,P,0.00415
200600_at,6821.6,P,0.001221
200601_at,323.6,A,0.850342
200602_at,385.8,A,0.219482
200603_at,1166.7,P,0.000244
200604_s_at,686.1,A,0.334473
200605_s_at,1141.5,P,0.000244
200606_at,280.6,A,0.303711
200607_s_at,1424.5,A,0.171387
200608_s_at,935.6,P,0.000732
200609_s_at,809.5,A,0.246094
200610_s_at,2796.6,P,0.001953
200611_s_at,1956,P,0.046143
200612_s_at,673.5,A,0.72583
200613_at,790.5,A,0.366211
200614_at,4836.6,P,0.000244
200615_s_at,320.2,A,0.665527
200616_s_at,171.1,A,0.943848
200617_at,301.2,A,0.303711
200618_at,2286,P,0.018555
200619_at,377,A,0.780518
200620_at,1304.5,P,0.023926
200621_at,1086.7,M,0.056152
200622_x_at,330.8,A,0.80542
200623_s_at,1685.4,A,0.111572
200624_s_at,1469.8,P,0.001953
200625_s_at,2276.4,A,0.080566
200626_s_at,1498.2,P,0.000244
200627_at,2906.3,P,0.000244
200628_s_at,196.9,A,0.919434
200629_at,685.9,P,0.018555
200630_x_at,3506.7,P,0.000244
200631_s_at,3318.9,P,0.000732
200632_s_at,957.3,P,0.030273
200633_at,15507.8,P,0.001953
200634_at,9386.1,P,0.001953
200635_s_at,305,A,0.601074
200636_s_at,548.7,A,0.533936
200637_s_at,218.1,A,0.943848
200638_s_at,3311.6,P,0.000244
200639_s_at,2402.7,P,0.000244
200640_at,5045.2,P,0.000732
200641_s_at,4350.5,P,0.000244
200642_at,4102.5,P,0.046143
200643_at,358,A,0.696289
200644_at,2523.4,P,0.000244
200645_at,3524.2,P,0.000244
200646_s_at,327.3,A,0.601074
200647_x_at,2141.1,A,0.27417
200648_s_at,684.8,A,0.27417
200649_at,826.6,A,0.27417
200650_s_at,3366.3,P,0.000244
200651_at,14165.5,P,0.000244
200652_at,1911.4,P,0.046143
