ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1004.9,P,0.014937
1053_at,446.2,P,0.00418
117_at,108.1,A,0.234557
121_at,1617.5,P,0.003585
1255_g_at,24.2,A,0.660442
1294_at,1551.8,P,0.000388
1316_at,260.6,P,0.009985
1320_at,32.2,A,0.781017
1405_i_at,108.8,A,0.296809
1431_at,109.5,A,0.066865
1438_at,411.3,A,0.11716
1487_at,610.4,M,0.060419
1494_f_at,490.4,M,0.05447
1598_g_at,806.7,A,0.07383
160020_at,776.4,P,0.017001
1729_at,337.2,P,0.011447
1773_at,277.5,A,0.32083
177_at,28.3,A,0.581931
179_at,1455,M,0.060419
1861_at,267.9,A,0.11716
200000_s_at,2843.4,P,0.000244
200001_at,3633.2,P,0.001953
200002_at,9225.5,P,0.000244
200003_s_at,20932.9,P,0.000244
200004_at,8348.9,P,0.000244
200005_at,4971.3,P,0.000244
200006_at,3574.9,P,0.000732
200007_at,5696,P,0.000244
200008_s_at,3689.6,P,0.000244
200009_at,6984.4,P,0.000244
200010_at,21618.1,P,0.000244
200011_s_at,1627.6,P,0.001953
200012_x_at,17539,P,0.000244
200013_at,13900.3,P,0.000244
200014_s_at,2161.6,P,0.000244
200015_s_at,1987.5,P,0.000732
200016_x_at,20894.6,P,0.000244
200017_at,19944,P,0.000732
200018_at,24876.2,P,0.000244
200019_s_at,15502.6,P,0.000244
200020_at,2093.1,P,0.000244
200021_at,22532.9,P,0.001953
200022_at,19262.1,P,0.000244
200023_s_at,9099,P,0.000244
200024_at,11767.4,P,0.000732
200025_s_at,20831.3,P,0.000244
200026_at,24158.7,P,0.000732
200027_at,2185.9,P,0.000244
200028_s_at,1791.9,P,0.001221
200029_at,17776.3,P,0.000244
200030_s_at,8180.4,P,0.000244
200031_s_at,37102.3,P,0.000244
200032_s_at,28999.2,P,0.000244
200033_at,9406.4,P,0.000244
200034_s_at,15380.8,P,0.000244
200035_at,1760.9,P,0.001221
200036_s_at,10740.8,P,0.000244
200037_s_at,3403.3,P,0.000244
200038_s_at,20580,P,0.000244
200039_s_at,1821.9,P,0.000244
200040_at,3150.5,P,0.000244
200041_s_at,7787.9,P,0.000244
200042_at,1851.6,P,0.00293
200043_at,4627.4,P,0.000732
200044_at,3116.2,P,0.000244
200045_at,1252.5,P,0.000732
200046_at,1791.6,P,0.001953
200047_s_at,2766.9,P,0.000244
200048_s_at,3055.5,P,0.000244
200049_at,787.8,P,0.000244
200050_at,1749.8,P,0.000244
200051_at,472.4,P,0.000244
200052_s_at,2359.1,P,0.000244
200053_at,1234.4,P,0.000244
200054_at,308.4,P,0.046143
200055_at,2609,P,0.000244
200056_s_at,370.3,P,0.000732
200057_s_at,10109.6,P,0.000244
200058_s_at,3900.4,P,0.000244
200059_s_at,11538.8,P,0.000244
200060_s_at,3062.7,P,0.001221
200061_s_at,25336.8,P,0.000244
200062_s_at,25438.4,P,0.000244
200063_s_at,12192.3,P,0.000244
200064_at,6044.5,P,0.000732
200065_s_at,4958.4,P,0.000244
200066_at,1601,P,0.000244
200067_x_at,2371.3,P,0.000244
200068_s_at,4103.7,P,0.000244
200069_at,678.3,P,0.000244
200070_at,681.6,P,0.000732
200071_at,709.7,A,0.095215
200072_s_at,4646.6,P,0.000244
200073_s_at,3573.5,P,0.000244
200074_s_at,6746.9,P,0.000244
200075_s_at,1530.5,P,0.000244
200076_s_at,1125.3,P,0.000244
200077_s_at,12166.5,P,0.000244
200078_s_at,2809.2,P,0.00415
200079_s_at,2434.1,P,0.000732
200080_s_at,13086,P,0.000244
200081_s_at,24837.4,P,0.000244
200082_s_at,17270.7,P,0.000244
