ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,245.9,A,0.138765
1053_at,535.5,P,0.000959
117_at,117.4,M,0.05447
121_at,1294.2,P,0.005643
1255_g_at,109.3,A,0.189687
1294_at,1551,P,0.000219
1316_at,82.8,A,0.081337
1320_at,109,A,0.438361
1405_i_at,51,A,0.635055
1431_at,168,P,0.019304
1438_at,184.6,A,0.438361
1487_at,549.1,M,0.060419
1494_f_at,236.3,A,0.081337
1598_g_at,571.8,A,0.107301
160020_at,686,P,0.013092
1729_at,137.8,P,0.048995
1773_at,236.3,A,0.189687
177_at,407.5,P,0.011447
179_at,793.9,M,0.05447
1861_at,274.6,A,0.089405
200000_s_at,3946.6,P,0.000244
200001_at,3507.5,P,0.000244
200002_at,17267,P,0.000244
200003_s_at,25232,P,0.000244
200004_at,8653.9,P,0.000244
200005_at,9012.7,P,0.000244
200006_at,8427.4,P,0.000244
200007_at,7303.2,P,0.000244
200008_s_at,6105.2,P,0.000244
200009_at,11468.6,P,0.000244
200010_at,23629.3,P,0.000244
200011_s_at,1595.9,P,0.000244
200012_x_at,19546.3,P,0.000244
200013_at,21473.6,P,0.000244
200014_s_at,3445.4,P,0.000244
200015_s_at,1874.7,P,0.000732
200016_x_at,26912.9,P,0.000244
200017_at,16521.4,P,0.000732
200018_at,29962,P,0.000244
200019_s_at,22963.5,P,0.000244
200020_at,2308.7,P,0.000244
200021_at,22144.9,P,0.001953
200022_at,24272.9,P,0.000244
200023_s_at,9745.4,P,0.000244
200024_at,19827.8,P,0.000732
200025_s_at,27763.2,P,0.000244
200026_at,42118.4,P,0.000732
200027_at,3432.4,P,0.000244
200028_s_at,2920.1,P,0.000244
200029_at,26270,P,0.000244
200030_s_at,12561.4,P,0.000244
200031_s_at,37698,P,0.000244
200032_s_at,42752.7,P,0.000244
200033_at,10723.3,P,0.000244
200034_s_at,20245.5,P,0.000244
200035_at,1224.6,P,0.000244
200036_s_at,19911.9,P,0.000244
200037_s_at,3503.9,P,0.000244
200038_s_at,27039.5,P,0.000244
200039_s_at,2202.4,P,0.000244
200040_at,5214.6,P,0.000244
200041_s_at,7111.3,P,0.000244
200042_at,1392.2,P,0.000732
200043_at,5940.7,P,0.000244
200044_at,3917.8,P,0.000244
200045_at,1708.5,P,0.000244
200046_at,13406.1,P,0.000244
200047_s_at,2366.7,P,0.000244
200048_s_at,4263.6,P,0.000244
200049_at,764.4,P,0.000244
200050_at,1404.2,P,0.000244
200051_at,822.3,P,0.000732
200052_s_at,3088,P,0.000244
200053_at,1427.7,P,0.000244
200054_at,578.6,P,0.000244
200055_at,2677.6,P,0.000244
200056_s_at,491.3,P,0.005859
