ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,509.5,P,0.024711
1053_at,540.1,P,0.001602
117_at,193.2,A,0.127645
121_at,1369,P,0.003067
1255_g_at,76.3,A,0.438361
1294_at,1002.6,P,0.000805
1316_at,84.6,A,0.218983
1320_at,10.7,A,0.901983
1405_i_at,178.6,P,0.020663
1431_at,103.1,A,0.138765
1438_at,35.9,A,0.933135
1487_at,358,M,0.05447
1494_f_at,234.6,A,0.098054
1598_g_at,689.8,A,0.150527
160020_at,797,P,0.014937
1729_at,407.9,P,0.009985
1773_at,270.6,A,0.107301
177_at,336.5,P,0.009985
179_at,927.5,M,0.060419
1861_at,142.6,A,0.204022
200000_s_at,3083.4,P,0.000244
200001_at,4252.1,P,0.000732
200002_at,17846.1,P,0.000244
200003_s_at,28395,P,0.000244
200004_at,7699,P,0.000244
200005_at,8563.4,P,0.000244
200006_at,6489.5,P,0.000244
200007_at,8035.1,P,0.000244
200008_s_at,4694.9,P,0.000244
200009_at,8211.2,P,0.000244
200010_at,14085.2,P,0.000244
200011_s_at,1266.7,P,0.000732
200012_x_at,20951.7,P,0.000244
200013_at,20638,P,0.000244
200014_s_at,2895.6,P,0.000244
200015_s_at,2075.9,P,0.000732
200016_x_at,29415.7,P,0.000244
200017_at,18989.6,P,0.000244
200018_at,28237.4,P,0.000244
200019_s_at,20473.8,P,0.000244
200020_at,2276.5,P,0.000244
200021_at,24298.5,P,0.001221
200022_at,26232.4,P,0.000244
200023_s_at,12719.8,P,0.000244
200024_at,17009.4,P,0.000732
200025_s_at,27859.4,P,0.000244
200026_at,36501.4,P,0.000732
200027_at,2457.9,P,0.000244
200028_s_at,2657.2,P,0.000732
200029_at,29037.8,P,0.000244
200030_s_at,10788.3,P,0.000244
200031_s_at,40903.9,P,0.000244
200032_s_at,35103.2,P,0.000244
200033_at,11944.5,P,0.000244
200034_s_at,23233.6,P,0.000244
200035_at,1159.6,P,0.000732
200036_s_at,21484,P,0.000244
200037_s_at,3596,P,0.000244
200038_s_at,26771.7,P,0.000244
200039_s_at,2747.3,P,0.000244
200040_at,3663.1,P,0.000244
200041_s_at,7183.2,P,0.000244
200042_at,1517.1,P,0.001221
200043_at,7225.8,P,0.000244
200044_at,4986.6,P,0.000244
200045_at,1556.8,P,0.000244
200046_at,1679.3,P,0.000244
200047_s_at,2852.4,P,0.000244
200048_s_at,3605,P,0.000244
200049_at,855,P,0.000244
200050_at,2031.9,P,0.000244
200051_at,641.6,P,0.000732
200052_s_at,3349.2,P,0.000244
200053_at,1675.6,P,0.000244
200054_at,342.5,P,0.000732
200055_at,2880.7,P,0.000244
200056_s_at,421.1,P,0.000244
200057_s_at,11348.1,P,0.000244
200058_s_at,3055.4,P,0.000244
200059_s_at,15616,P,0.000244
200060_s_at,3435.5,P,0.000732
200061_s_at,35914,P,0.000244
200062_s_at,41698.1,P,0.000244
200063_s_at,14952.3,P,0.000244
200064_at,13128.3,P,0.000732
200065_s_at,5253,P,0.000244
200066_at,1334.9,P,0.000244
