ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1464,P,0.004863
1053_at,552.9,P,0.003585
117_at,244.1,A,0.11716
121_at,1632.3,P,0.008689
1255_g_at,104.3,A,0.234557
1294_at,2199.3,P,0.000219
1316_at,168.5,A,0.081337
1320_at,49.2,A,0.824011
1405_i_at,74.4,A,0.070073
1431_at,137.2,P,0.035163
1438_at,343.6,A,0.438361
1487_at,569.5,A,0.175989
1494_f_at,362.2,A,0.098054
1598_g_at,1134.1,P,0.039365
160020_at,674.7,P,0.017001
1729_at,532.2,P,0.00418
1773_at,363.2,A,0.11716
177_at,225.7,A,0.189648
179_at,1626.4,M,0.05447
1861_at,270.4,A,0.107301
200000_s_at,2330.7,P,0.000244
200001_at,3451.7,P,0.000732
200002_at,24586.8,P,0.000244
200003_s_at,17506.1,P,0.000244
200004_at,7546,P,0.000244
200005_at,5324.1,P,0.000244
200006_at,4811.6,P,0.000244
200007_at,7239.5,P,0.000244
200008_s_at,5190.1,P,0.000244
200009_at,8665,P,0.000244
200010_at,19479.8,P,0.000244
200011_s_at,1532,P,0.001953
200012_x_at,27957.8,P,0.000244
200013_at,18985.6,P,0.000244
200014_s_at,1628.4,P,0.000244
200015_s_at,2051.4,P,0.000732
200016_x_at,24642.1,P,0.000244
200017_at,14365.4,P,0.000732
200018_at,29450.6,P,0.000244
200019_s_at,18832.8,P,0.000244
200020_at,2148.4,P,0.000244
200021_at,26458.3,P,0.001221
200022_at,27944.7,P,0.000244
200023_s_at,8431.5,P,0.000244
200024_at,20717.2,P,0.000244
200025_s_at,28943.4,P,0.000244
200026_at,35994.4,P,0.000732
200027_at,2345.8,P,0.000244
200028_s_at,2641.2,P,0.000244
200029_at,23819.8,P,0.000244
200030_s_at,8549,P,0.000244
200031_s_at,50202.6,P,0.000244
200032_s_at,33600.7,P,0.000244
200033_at,10340.2,P,0.000244
200034_s_at,18524.1,P,0.000244
200035_at,1539.2,P,0.00415
200036_s_at,12657.9,P,0.000244
200037_s_at,2863.3,P,0.000732
200038_s_at,26715.9,P,0.000244
200039_s_at,1552.2,P,0.000244
200040_at,3010.8,P,0.000244
200041_s_at,8832.3,P,0.000244
200042_at,1340,P,0.001953
200043_at,4847.7,P,0.000244
200044_at,2454,P,0.000244
200045_at,2109,P,0.000732
200046_at,990.7,P,0.000244
200047_s_at,2170.7,P,0.000244
200048_s_at,4704.4,P,0.000244
200049_at,736.3,P,0.000244
200050_at,1098,P,0.000244
200051_at,527.3,P,0.010742
200052_s_at,2071.1,P,0.000244
200053_at,1391.3,P,0.000244
200054_at,420.7,P,0.001953
200055_at,3093.4,P,0.000244
200056_s_at,316,P,0.037598
200057_s_at,8349,P,0.000244
200058_s_at,3189.7,P,0.000244
200059_s_at,11487.9,P,0.000244
200060_s_at,3195.9,P,0.001953
200061_s_at,40736.5,P,0.000244
200062_s_at,35824.4,P,0.000244
200063_s_at,19201.1,P,0.000244
200064_at,10598.7,P,0.000732
200065_s_at,3277.3,P,0.000244
200066_at,942.7,P,0.000732
200067_x_at,1729.5,P,0.000732
200068_s_at,5576.1,P,0.000244
200069_at,706.1,P,0.000732
200070_at,751.3,P,0.000732
200071_at,530.7,P,0.008057
200072_s_at,3874.4,P,0.000244
200073_s_at,2676.4,P,0.000244
200074_s_at,8592.8,P,0.000244
200075_s_at,1164.4,P,0.000244
200076_s_at,610.3,P,0.000732
200077_s_at,10227,P,0.000244
200078_s_at,2361.3,P,0.008057
200079_s_at,3488.9,P,0.000244
200080_s_at,14313.8,P,0.000244
200081_s_at,21575,P,0.000244
200082_s_at,23239.4,P,0.000244
200083_at,2516.3,P,0.000732
200084_at,2133.6,P,0.000244
200085_s_at,2457.6,P,0.000244
200086_s_at,3054.6,P,0.000244
200087_s_at,2000.4,P,0.000244
200088_x_at,29153.7,P,0.000244
200089_s_at,13361.4,P,0.000244
200090_at,3218.8,P,0.000732
200091_s_at,9345,P,0.000244
200092_s_at,22170,P,0.000244
200093_s_at,2644.3,P,0.000244
200094_s_at,9921.6,P,0.000244
200095_x_at,55365.3,P,0.000244
200096_s_at,1551.1,P,0.000244
200097_s_at,4394,P,0.000244
200098_s_at,2905,P,0.001953
200099_s_at,36830.1,P,0.000244
200593_s_at,3364.3,P,0.000244
200594_x_at,6862.2,P,0.000244
200595_s_at,1502.4,P,0.000244
200596_s_at,1131.2,P,0.000244
200597_at,629.9,P,0.00415
200598_s_at,984.1,P,0.000244
200599_s_at,3057.3,P,0.000244
200600_at,4368,P,0.000244
200601_at,1499.3,P,0.00415
200602_at,337.6,P,0.005859
200603_at,1403.4,P,0.000244
200604_s_at,1074.6,P,0.000244
200605_s_at,1491.1,P,0.000244
200606_at,119,P,0.030273
200607_s_at,1250.7,P,0.00415
200608_s_at,843.7,P,0.001953
200609_s_at,2087.2,P,0.00293
200610_s_at,8054.7,P,0.000732
200611_s_at,2235.3,P,0.00293
200612_s_at,598.5,A,0.149658
200613_at,1830.8,P,0.001953
200614_at,5357,P,0.000244
200615_s_at,631.7,A,0.080566
200616_s_at,807.5,P,0.005859
200617_at,1694.4,P,0.010742
200618_at,2461.2,P,0.001221
200619_at,1232.9,P,0.018555
200620_at,1875.7,P,0.001953
200621_at,833.4,P,0.00415
200622_x_at,1223.2,P,0.008057
200623_s_at,2347.8,P,0.000732
200624_s_at,3991.8,P,0.000244
200625_s_at,2490.7,P,0.000244
200626_s_at,3210.6,P,0.001221
200627_at,5913.9,P,0.000244
200628_s_at,303.5,A,0.696289
200629_at,490.3,P,0.008057
200630_x_at,9406.9,P,0.000244
200631_s_at,9390.6,P,0.000244
200632_s_at,666.2,P,0.001953
200633_at,17613.4,P,0.001953
200634_at,6969.6,P,0.000244
200635_s_at,170.9,A,0.067627
200636_s_at,161.9,A,0.533936
200637_s_at,32,A,0.72583
200638_s_at,3990.2,P,0.000244
200639_s_at,2368.6,P,0.000244
200640_at,5191.1,P,0.000244
200641_s_at,4144.8,P,0.000244
200642_at,5010.9,P,0.000732
200643_at,87,A,0.303711
200644_at,1978.4,P,0.000732
200645_at,4085.8,P,0.000244
200646_s_at,387,P,0.001953
200647_x_at,4149.7,P,0.008057
200648_s_at,879.2,P,0.01416
200649_at,667.4,P,0.01416
200650_s_at,7650.4,P,0.000244
200651_at,28008.3,P,0.000244
200652_at,2109.4,P,0.000732
200653_s_at,1632.9,P,0.001953
200654_at,2374.6,P,0.01416
200655_s_at,2371.8,P,0.000244
200656_s_at,1073.4,P,0.000732
200657_at,8070.8,P,0.000244
200658_s_at,1241.5,P,0.000244
200659_s_at,652.3,P,0.01416
200660_at,189.7,A,0.303711
200661_at,1021.2,P,0.018555
200662_s_at,2180.4,P,0.000244
200663_at,1827.2,P,0.00293
200664_s_at,701.5,P,0.046143
200665_s_at,168.2,A,0.366211
200666_s_at,1004.2,P,0.000244
200667_at,1768.4,P,0.000244
200668_s_at,4649.2,P,0.000244
200669_s_at,2712.4,P,0.000244
200670_at,3127.6,P,0.000244
200671_s_at,1312.1,P,0.001953
200672_x_at,3228.2,P,0.000244
200673_at,2076.3,P,0.000732
200674_s_at,38183.3,P,0.000244
200675_at,4776.6,P,0.000244
200676_s_at,662.9,P,0.01416
200677_at,1903.5,P,0.001221
200678_x_at,1108.5,P,0.046143
200679_x_at,4836.6,P,0.000244
200680_x_at,21748.8,P,0.000244
200681_at,2213.2,P,0.000244
200682_s_at,1871.6,P,0.000244
200683_s_at,1456.8,P,0.00293
200684_s_at,822.8,P,0.001953
200685_at,344,P,0.00415
200686_s_at,2036.8,P,0.000732
200687_s_at,898.5,P,0.001221
200688_at,325.2,A,0.067627
200689_x_at,28957.5,P,0.000244
200690_at,223.4,A,0.366211
200691_s_at,1220.6,P,0.000244
200692_s_at,1579.4,P,0.000244
200693_at,4799.9,P,0.000244
200694_s_at,1316.4,P,0.000244
200695_at,1447.2,P,0.023926
200696_s_at,1577.7,P,0.001953
200697_at,1085.7,M,0.056152
200698_at,645.6,P,0.000732
200699_at,637.2,P,0.030273
200700_s_at,1410.8,P,0.000244
200701_at,1113.3,P,0.000244
200702_s_at,368.2,P,0.037598
200703_at,3982.3,P,0.005859
200704_at,1138.7,P,0.000732
200705_s_at,15830.9,P,0.000244
200706_s_at,1134.6,P,0.01416
200707_at,878.3,P,0.001221
200708_at,940.8,P,0.001221
200709_at,3183.2,P,0.000244
200710_at,2025.2,P,0.001953
200711_s_at,1271.7,P,0.000244
200712_s_at,963.1,P,0.001221
200713_s_at,3134.1,P,0.000732
200714_x_at,2944.3,P,0.000244
200715_x_at,15097.4,P,0.000244
200716_x_at,48385.6,P,0.000244
200717_x_at,42741.9,P,0.000244
200718_s_at,5552.5,P,0.000244
200719_at,703.7,P,0.001953
200720_s_at,715.8,P,0.00293
200721_s_at,499.7,P,0.005859
200722_s_at,1878.5,P,0.000244
200723_s_at,3963.6,P,0.000732
200724_at,231.5,A,0.303711
200725_x_at,31832.8,P,0.000244
200726_at,2374.2,P,0.000244
200727_s_at,3243.4,P,0.001221
200728_at,5325.9,P,0.000244
200729_s_at,2988.9,P,0.000244
200730_s_at,406.5,P,0.00293
200731_s_at,390.7,P,0.005859
200732_s_at,549.4,P,0.005859
200733_s_at,163.1,P,0.00415
200734_s_at,1016.2,A,0.067627
200735_x_at,30062.7,P,0.000244
200736_s_at,4942.7,P,0.000732
200737_at,1757.8,P,0.000732
200738_s_at,4929,P,0.000244
200739_s_at,822.8,P,0.01416
200740_s_at,1794.3,P,0.000244
200741_s_at,36330.3,P,0.000244
200742_s_at,1801.8,P,0.000244
200743_s_at,1762.6,P,0.000244
200744_s_at,2736.2,P,0.000244
200745_s_at,3532.3,P,0.000732
200746_s_at,4301,P,0.000244
200747_s_at,3869.8,P,0.000244
200748_s_at,2997,P,0.000732
200749_at,481.5,P,0.00415
200750_s_at,5554.5,P,0.000732
200751_s_at,1684.9,P,0.000732
200752_s_at,850.5,P,0.010742
200753_x_at,2077.2,P,0.001221
200754_x_at,11754.3,P,0.000244
200755_s_at,153.3,A,0.219482
200756_x_at,502.6,A,0.303711
200757_s_at,699.2,P,0.005859
200758_s_at,856.9,P,0.030273
200759_x_at,1091.2,P,0.001953
200760_s_at,1344.4,P,0.001221
200761_s_at,1710,P,0.005859
200762_at,1050,P,0.000244
200763_s_at,34182.1,P,0.000244
200764_s_at,618.7,P,0.000244
200765_x_at,721.4,P,0.000244
200766_at,217.1,A,0.065186
200767_s_at,1311.8,P,0.001221
200768_s_at,3105.7,P,0.000244
200769_s_at,1990.6,P,0.018555
200770_s_at,427.7,M,0.056152
200771_at,649.4,P,0.018555
200772_x_at,26670.7,P,0.000244
200773_x_at,17023.8,P,0.000244
200774_at,5520.9,P,0.000244
200775_s_at,6330.1,P,0.000244
200776_s_at,1395.5,P,0.01416
200777_s_at,1374.2,P,0.000244
200778_s_at,2718.8,P,0.000244
200779_at,4854.6,P,0.000732
200780_x_at,16939.3,P,0.000244
200781_s_at,37406.4,P,0.000244
200782_at,955.7,P,0.001221
200783_s_at,707.6,P,0.00415
200784_s_at,34.9,A,0.943848
200785_s_at,121.7,A,0.19458
200786_at,2373.1,P,0.000244
200787_s_at,626.9,P,0.008057
200788_s_at,353.6,P,0.018555
200789_at,1861.2,P,0.023926
200790_at,3396.7,P,0.000732
200791_s_at,1576.3,P,0.000732
200792_at,4333.2,P,0.00293
200793_s_at,1466.7,A,0.067627
200794_x_at,5067,P,0.000244
200795_at,163.1,A,0.27417
200796_s_at,435.3,P,0.046143
200797_s_at,2153.6,P,0.000244
200798_x_at,1388.2,P,0.000244
200799_at,758.4,P,0.000732
200800_s_at,441.2,P,0.00293
200801_x_at,52431.7,P,0.000244
200802_at,1480.4,P,0.001221
200803_s_at,2864.9,P,0.001221
200804_at,3476.7,P,0.000244
200805_at,650.5,A,0.067627
200806_s_at,5207.7,P,0.000244
200807_s_at,7862.8,P,0.000244
200808_s_at,1080,P,0.001221
200809_x_at,30318.8,P,0.000244
200810_s_at,2183.3,P,0.000244
200811_at,1809.5,P,0.030273
200812_at,1514.9,P,0.000732
200813_s_at,1370.2,P,0.018555
200814_at,3551.5,P,0.000244
200815_s_at,786.9,P,0.000732
200816_s_at,1605.5,P,0.000732
200817_x_at,48117.9,P,0.000244
200818_at,3876.9,P,0.000244
200819_s_at,33910,P,0.000244
200820_at,794,P,0.005859
200821_at,267.2,A,0.067627
200822_x_at,2140.5,P,0.000244
200823_x_at,14591.1,P,0.000244
200824_at,2252.1,P,0.000732
200825_s_at,1644.8,P,0.00293
200826_at,4687.7,P,0.000244
200827_at,204.6,A,0.533936
200828_s_at,4408.6,P,0.000732
200829_x_at,2074.1,P,0.000732
200830_at,1381.7,P,0.000244
200831_s_at,121.7,A,0.696289
200832_s_at,17.8,A,0.888428
200833_s_at,2843,P,0.000244
200834_s_at,24986.4,P,0.000244
200835_s_at,47.6,A,0.919434
200836_s_at,728.7,A,0.149658
200837_at,1263.3,P,0.000732
200838_at,581.9,P,0.018555
200839_s_at,854.4,P,0.000244
200840_at,5085,P,0.000244
200841_s_at,569,A,0.080566
200842_s_at,873.4,P,0.001221
200843_s_at,1055.1,P,0.001221
200844_s_at,1646.7,P,0.000244
200845_s_at,1567.8,P,0.000732
200846_s_at,3415.1,P,0.000244
200847_s_at,1166.1,P,0.000732
200848_at,865.9,P,0.00415
200849_s_at,1183.5,P,0.00415
200850_s_at,2135.6,P,0.000244
200851_s_at,2403,P,0.00415
200852_x_at,1183.2,P,0.018555
200853_at,3735.7,P,0.001953
200854_at,878.1,P,0.000244
200855_at,358.2,P,0.023926
200856_x_at,522.2,P,0.010742
200857_s_at,936.3,P,0.00415
200858_s_at,15478.6,P,0.000244
200859_x_at,926.3,P,0.000732
200860_s_at,2633.4,P,0.000244
200861_at,932.8,P,0.010742
200862_at,83.3,A,0.533936
200863_s_at,2564.6,P,0.000244
200864_s_at,401.9,P,0.000244
200865_at,4.2,A,0.994141
200866_s_at,2156.7,P,0.000732
200867_at,1059.8,P,0.000244
200868_s_at,1388.9,P,0.023926
200869_at,31878.1,P,0.000244
200870_at,1999.8,P,0.000244
200871_s_at,1637.3,P,0.000244
200872_at,65,A,0.466064
200873_s_at,4080.4,P,0.000244
200874_s_at,652.5,P,0.000732
200875_s_at,2144.8,P,0.000244
200876_s_at,2404.6,P,0.000244
200877_at,5207.5,P,0.000244
200878_at,7.6,A,0.904785
200879_s_at,86.5,A,0.601074
200880_at,1350.4,P,0.00415
200881_s_at,1609.6,P,0.000732
200882_s_at,1800.2,P,0.000732
200883_at,1749.7,P,0.001221
200884_at,223.4,A,0.171387
200885_at,357,A,0.19458
200886_s_at,2852.8,P,0.000732
200887_s_at,757.8,P,0.000244
200888_s_at,21610.9,P,0.000244
