ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,779.4,P,0.019304
1053_at,289,M,0.05447
117_at,1412.4,P,0.000322
121_at,1172,P,0.004863
1255_g_at,21.5,A,0.732537
1294_at,738.1,P,0.000673
1316_at,89,A,0.234557
1320_at,46.7,A,0.892699
1405_i_at,192.2,P,0.020663
1431_at,101.6,A,0.204022
1438_at,179.7,A,0.302547
1487_at,458.3,A,0.081337
1494_f_at,161.6,A,0.234519
1598_g_at,585.6,P,0.043968
160020_at,863.7,P,0.011447
1729_at,322.9,A,0.138765
1773_at,21.5,A,0.892699
177_at,234,A,0.35869
179_at,938.9,A,0.107301
1861_at,184.2,A,0.378184
200000_s_at,3153.1,P,0.00415
200001_at,3645.2,P,0.000244
200002_at,13306.7,P,0.000244
200003_s_at,29860.8,P,0.000244
200004_at,14598.4,P,0.000244
200005_at,7624.8,P,0.000244
200006_at,7255.4,P,0.000244
200007_at,9747.5,P,0.000244
200008_s_at,9663,P,0.000244
200009_at,15990.5,P,0.000244
200010_at,20005.1,P,0.000244
200011_s_at,754.8,P,0.000732
200012_x_at,19709.6,P,0.000244
200013_at,16458.9,P,0.000244
200014_s_at,3296.4,P,0.000244
200015_s_at,1784.5,P,0.001953
200016_x_at,19009.3,P,0.000244
200017_at,16937.2,P,0.001221
200018_at,25511,P,0.000244
200019_s_at,28328.3,P,0.000244
200020_at,1395.3,P,0.000244
200021_at,33399.3,P,0.001953
200022_at,19171,P,0.000244
200023_s_at,10557.9,P,0.000244
200024_at,14460.6,P,0.000732
200025_s_at,27593.3,P,0.000244
200026_at,40617.9,P,0.000732
200027_at,2470.9,P,0.000244
200028_s_at,1281.2,P,0.000244
200029_at,23872.8,P,0.000244
200030_s_at,10946.1,P,0.000244
200031_s_at,37728.6,P,0.000244
200032_s_at,38580.6,P,0.000244
200033_at,16339.7,P,0.000244
200034_s_at,16461.9,P,0.000244
200035_at,1829.7,P,0.001953
200036_s_at,16807.4,P,0.000244
200037_s_at,3253.6,P,0.000244
200038_s_at,25131.2,P,0.000244
200039_s_at,1532.7,P,0.000244
200040_at,3686.9,P,0.000732
200041_s_at,4580.2,P,0.000244
200042_at,950.6,P,0.001953
200043_at,6638.2,P,0.000732
200044_at,4401.9,P,0.000244
200045_at,1274.9,P,0.001953
200046_at,1367.9,P,0.000244
200047_s_at,2375.6,P,0.000244
200048_s_at,4210.1,P,0.000244
200049_at,896.1,P,0.000244
200050_at,730,P,0.00415
200051_at,690.6,P,0.005859
200052_s_at,2752.9,P,0.000244
200053_at,1526.5,P,0.000244
200054_at,309.9,P,0.000244
200055_at,2849,P,0.000244
200056_s_at,617,P,0.000732
200057_s_at,10801,P,0.000244
200058_s_at,3846.6,P,0.000244
200059_s_at,25648.6,P,0.000244
200060_s_at,2799.1,P,0.001221
200061_s_at,33452,P,0.000244
200062_s_at,43320.4,P,0.000244
200063_s_at,14854.8,P,0.000244
200064_at,12037.5,P,0.000732
200065_s_at,6628.4,P,0.000244
200066_at,1712.6,P,0.000244
200067_x_at,3489.1,P,0.000732
200068_s_at,4013.9,P,0.000244
200069_at,270.3,P,0.01416
200070_at,702.9,P,0.000732
200071_at,1095,P,0.001953
200072_s_at,5285.7,P,0.000244
200073_s_at,3822.9,P,0.000244
200074_s_at,10391.7,P,0.000244
200075_s_at,1824.1,P,0.000244
200076_s_at,1229,P,0.001953
200077_s_at,19678.7,P,0.000244
200078_s_at,2676.1,P,0.000244
200079_s_at,3763,P,0.000732
200080_s_at,22561.7,P,0.000244
200081_s_at,23369.3,P,0.000244
200082_s_at,29313.8,P,0.000244
