ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,945.5,P,0.011447
1053_at,777.7,P,0.011447
117_at,210.8,A,0.32083
121_at,1660.1,P,0.007543
1255_g_at,290.5,A,0.218983
1294_at,1121.7,P,0.002228
1316_at,248.6,M,0.05447
1320_at,43.5,A,0.892699
1405_i_at,141.9,A,0.216313
1431_at,39.8,A,0.5
1438_at,162.8,A,0.561639
1487_at,603.9,A,0.150527
1494_f_at,516.2,P,0.039365
1598_g_at,985.2,A,0.098054
160020_at,1028.6,P,0.021866
1729_at,519.3,P,0.035163
1773_at,96.5,A,0.581931
177_at,94.9,A,0.52062
179_at,953.5,A,0.234557
1861_at,285,A,0.418069
200000_s_at,2995.5,P,0.000244
200001_at,3350.3,P,0.001953
200002_at,13530.6,P,0.000244
200003_s_at,24591.4,P,0.000244
200004_at,10514.3,P,0.000244
200005_at,5800.5,P,0.000244
200006_at,6760.3,P,0.000244
200007_at,7432.3,P,0.000244
200008_s_at,5672.2,P,0.000244
200009_at,9242.1,P,0.000244
200010_at,19758.9,P,0.000244
200011_s_at,1190.9,A,0.095215
200012_x_at,18427.6,P,0.000244
200013_at,12769.7,P,0.000244
200014_s_at,2834.5,P,0.000244
200015_s_at,1977.2,P,0.001221
200016_x_at,27092.3,P,0.000244
200017_at,11388.2,P,0.000732
200018_at,28434.6,P,0.000244
200019_s_at,21147.4,P,0.000244
200020_at,2085.9,P,0.000244
200021_at,33328,P,0.001953
200022_at,15952,P,0.000244
200023_s_at,7459.2,P,0.000244
200024_at,13781.3,P,0.001221
200025_s_at,25172.2,P,0.000244
200026_at,19838.6,P,0.000732
200027_at,2709.2,P,0.000244
200028_s_at,2523,P,0.001953
200029_at,22823.2,P,0.000244
200030_s_at,9333.1,P,0.000244
200031_s_at,35600.7,P,0.000244
200032_s_at,35017.6,P,0.000244
200033_at,13349.2,P,0.000244
200034_s_at,17439.7,P,0.000244
200035_at,1230.8,P,0.00415
200036_s_at,15433.6,P,0.000244
200037_s_at,4096.5,P,0.000244
200038_s_at,21278.5,P,0.000244
200039_s_at,2592.1,P,0.000244
200040_at,4440.7,P,0.000732
200041_s_at,5718,P,0.000244
200042_at,1548.3,P,0.005859
200043_at,8706.8,P,0.000732
200044_at,5642.5,P,0.000244
200045_at,1594.9,P,0.001953
200046_at,2133.8,P,0.000244
200047_s_at,2455.5,P,0.000244
200048_s_at,3549.8,P,0.000244
200049_at,1008.6,P,0.00415
200050_at,1450.5,P,0.000244
200051_at,747,P,0.000732
200052_s_at,3023.8,P,0.000244
200053_at,2228,P,0.000732
200054_at,267.4,P,0.00293
200055_at,2658,P,0.000244
200056_s_at,793.2,P,0.018555
200057_s_at,11050.3,P,0.000244
200058_s_at,3360,P,0.000244
200059_s_at,12748,P,0.000244
200060_s_at,3116.1,P,0.001221
200061_s_at,32359.5,P,0.000244
200062_s_at,35870.2,P,0.000244
200063_s_at,14793.6,P,0.000244
200064_at,8986.8,P,0.000732
200065_s_at,4277,P,0.000244
200066_at,1566.8,P,0.000732
200067_x_at,2231.2,P,0.000732
200068_s_at,4435.7,P,0.000244
200069_at,476,P,0.000244
200070_at,923.6,P,0.00415
200071_at,755.8,P,0.008057
200072_s_at,4311.5,P,0.000244
200073_s_at,4510.2,P,0.000244
200074_s_at,6954.6,P,0.000244
200075_s_at,538.6,P,0.010742
200076_s_at,1175.5,P,0.00415
200077_s_at,12655.4,P,0.000244
200078_s_at,2280.3,P,0.00415
200079_s_at,3960.9,P,0.000732
200080_s_at,18762.9,P,0.000244
200081_s_at,22816.1,P,0.000244
200082_s_at,21267.2,P,0.000244
200083_at,2383.2,P,0.001953
200084_at,3082.5,P,0.000244
200085_s_at,3048.1,P,0.000244
200086_s_at,3285.4,P,0.000244
200087_s_at,2424.8,P,0.000244
200088_x_at,16326.2,P,0.000244
200089_s_at,13799.2,P,0.000244
200090_at,2938.9,P,0.000244
200091_s_at,9492.2,P,0.000244
200092_s_at,20089.2,P,0.000244
200093_s_at,3069.2,P,0.000244
200094_s_at,5428.2,P,0.000244
200095_x_at,40133.9,P,0.000244
200096_s_at,1844,P,0.000244
200097_s_at,3745.8,P,0.000244
200098_s_at,2450.1,P,0.000244
200099_s_at,30680.9,P,0.000244
200593_s_at,4555.9,P,0.000244
200594_x_at,9268.4,P,0.000244
200595_s_at,1977.6,P,0.000244
200596_s_at,843.5,P,0.01416
200597_at,689.6,P,0.010742
200598_s_at,1507.9,P,0.000244
200599_s_at,2618.1,P,0.001221
200600_at,3193.5,P,0.000732
200601_at,913.1,P,0.005859
200602_at,184,A,0.246094
200603_at,2109.5,P,0.000244
200604_s_at,1872,P,0.000244
200605_s_at,2269.4,P,0.000244
200606_at,117.7,A,0.27417
200607_s_at,1742.1,P,0.000244
200608_s_at,2213.2,P,0.000244
200609_s_at,1655,P,0.001953
200610_s_at,8989.8,P,0.000244
200611_s_at,2864,P,0.001953
200612_s_at,47.9,A,0.828613
200613_at,2183.5,P,0.00415
200614_at,4599.4,P,0.000244
200615_s_at,466.8,A,0.111572
200616_s_at,289.8,A,0.19458
200617_at,1068,P,0.00415
200618_at,1803.3,P,0.001953
200619_at,1421.9,P,0.010742
200620_at,1850.6,P,0.000244
200621_at,739.4,P,0.010742
200622_x_at,976.9,A,0.111572
200623_s_at,1952.8,P,0.000244
200624_s_at,4313.2,P,0.000732
200625_s_at,3612.8,P,0.000244
200626_s_at,2547.3,P,0.000244
200627_at,5736.2,P,0.000244
200628_s_at,61,A,0.80542
200629_at,644,P,0.018555
200630_x_at,5144.5,P,0.000244
200631_s_at,5870.9,P,0.000244
200632_s_at,404.5,P,0.00293
200633_at,22898.2,P,0.000244
200634_at,10317.5,P,0.000244
200635_s_at,46.6,A,0.753906
200636_s_at,145.6,A,0.567627
200637_s_at,23.3,A,0.753906
200638_s_at,6933.6,P,0.000244
200639_s_at,5237,P,0.000244
200640_at,9171,P,0.000244
200641_s_at,7485.7,P,0.000244
200642_at,2504.9,P,0.001221
200643_at,541.3,A,0.246094
200644_at,9969.3,P,0.000244
200645_at,5156.6,P,0.000244
200646_s_at,293.5,A,0.095215
200647_x_at,2227.7,P,0.01416
200648_s_at,1017.3,P,0.023926
200649_at,458,A,0.067627
200650_s_at,6184.1,P,0.000244
200651_at,28713.8,P,0.000244
200652_at,2806.3,P,0.000732
200653_s_at,1762,P,0.000244
200654_at,3277.5,P,0.018555
200655_s_at,4012.3,P,0.000244
200656_s_at,922.9,P,0.000732
200657_at,9867.7,P,0.000244
200658_s_at,748.5,P,0.000244
200659_s_at,499,P,0.023926
200660_at,478.4,A,0.111572
200661_at,97.7,A,0.567627
200662_s_at,2010.6,P,0.000244
200663_at,1818.2,P,0.00415
200664_s_at,581.4,P,0.023926
200665_s_at,216.9,A,0.366211
200666_s_at,1086.6,P,0.000244
200667_at,1426.6,P,0.000244
200668_s_at,4675.7,P,0.000244
200669_s_at,2946.2,P,0.000244
200670_at,967.9,P,0.001221
200671_s_at,355,A,0.095215
200672_x_at,1245.9,P,0.000732
200673_at,2769.9,P,0.000244
200674_s_at,34426.3,P,0.000244
200675_at,10415.6,P,0.000244
200676_s_at,226.6,P,0.00415
200677_at,1567.8,P,0.000732
200678_x_at,1239.7,P,0.023926
200679_x_at,11297.9,P,0.000244
200680_x_at,25167.9,P,0.000244
200681_at,1763.5,P,0.000244
200682_s_at,2188.3,P,0.000244
200683_s_at,1758.7,P,0.01416
200684_s_at,660.6,P,0.001953
200685_at,380.7,P,0.01416
200686_s_at,2422.4,P,0.000732
200687_s_at,914.1,P,0.005859
200688_at,439.1,A,0.246094
200689_x_at,19197.5,P,0.000244
200690_at,220.2,A,0.149658
200691_s_at,1723.5,P,0.000732
200692_s_at,1469,P,0.001953
200693_at,8048.8,P,0.000244
200694_s_at,1641.1,P,0.000732
200695_at,1751.5,P,0.023926
200696_s_at,607.8,P,0.046143
200697_at,862.7,A,0.080566
200698_at,551.2,P,0.00293
200699_at,353.6,A,0.111572
200700_s_at,1646.5,P,0.000244
200701_at,2626.6,P,0.000244
200702_s_at,234.4,A,0.366211
200703_at,4270,P,0.000732
200704_at,1486.3,P,0.000244
200705_s_at,12323.3,P,0.000244
200706_s_at,1443,P,0.01416
200707_at,654.2,P,0.046143
200708_at,1182.8,P,0.000244
200709_at,2744.5,P,0.000732
200710_at,1348.6,P,0.010742
200711_s_at,1413.3,P,0.000732
200712_s_at,1224,P,0.001953
200713_s_at,3848.9,P,0.000244
200714_x_at,2751.6,P,0.000244
200715_x_at,11951.9,P,0.000244
200716_x_at,47659.2,P,0.000244
200717_x_at,34136.4,P,0.000244
200718_s_at,8728.9,P,0.000244
200719_at,565.3,P,0.008057
200720_s_at,866.5,P,0.008057
200721_s_at,787.1,P,0.01416
200722_s_at,1994.8,P,0.000244
200723_s_at,4567.2,P,0.000244
200724_at,60.9,A,0.71875
200725_x_at,32152.6,P,0.000244
200726_at,2912,P,0.000732
200727_s_at,2303.1,P,0.018555
200728_at,5335.7,P,0.000244
200729_s_at,4540.3,P,0.000244
200730_s_at,763.2,P,0.000244
200731_s_at,1090.5,P,0.00415
200732_s_at,998.8,P,0.001953
200733_s_at,482.1,P,0.001221
200734_s_at,1460.2,P,0.018555
200735_x_at,22710.8,P,0.000244
200736_s_at,3545.8,P,0.000732
200737_at,1666.7,P,0.001953
200738_s_at,4807,P,0.000244
200739_s_at,905.9,P,0.00293
200740_s_at,2419.1,P,0.000244
200741_s_at,37780.6,P,0.000244
200742_s_at,1346,P,0.000244
200743_s_at,1475,P,0.000244
200744_s_at,2158.7,P,0.000244
200745_s_at,3684.4,P,0.000244
200746_s_at,5403.1,P,0.001221
200747_s_at,2487.2,P,0.000244
200748_s_at,3683.8,P,0.000244
200749_at,922.7,P,0.001221
200750_s_at,7253.5,P,0.000732
200751_s_at,3522.3,P,0.000732
200752_s_at,707,P,0.010742
200753_x_at,2070.2,P,0.001221
200754_x_at,10342.1,P,0.000244
200755_s_at,205.2,A,0.246094
200756_x_at,383.2,A,0.27417
