ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,874,P,0.004863
1053_at,398.4,P,0.001354
117_at,146.4,A,0.189687
121_at,1167.6,P,0.013092
1255_g_at,123.7,M,0.060419
1294_at,2179,P,0.000219
1316_at,234.2,A,0.07383
1320_at,50,A,0.67917
1405_i_at,82.3,A,0.51252
1431_at,103.9,A,0.175989
1438_at,77.5,A,0.541184
1487_at,448.3,A,0.189687
1494_f_at,282.3,A,0.081337
1598_g_at,697.7,A,0.098054
160020_at,578.9,P,0.019304
1729_at,384.8,P,0.035163
1773_at,164.6,A,0.52062
177_at,244.8,P,0.048995
179_at,969,A,0.204022
1861_at,105.8,A,0.418069
200000_s_at,3258.7,P,0.000244
200001_at,3521,P,0.001221
200002_at,11938.2,P,0.000244
200003_s_at,24211.9,P,0.000244
200004_at,7471.5,P,0.000244
200005_at,5866.4,P,0.000244
200006_at,4702.1,P,0.000244
200007_at,5025.5,P,0.000244
200008_s_at,5544.5,P,0.000244
200009_at,9152.9,P,0.000244
200010_at,19117.1,P,0.000244
200011_s_at,1435.6,P,0.000244
200012_x_at,24856.9,P,0.000244
200013_at,15566.3,P,0.000244
200014_s_at,2752.2,P,0.000244
200015_s_at,2698.6,P,0.000732
200016_x_at,22863.1,P,0.000244
200017_at,15674.4,P,0.000732
200018_at,25606.3,P,0.000244
200019_s_at,18866.9,P,0.000244
200020_at,2285,P,0.000244
200021_at,39602.4,P,0.001221
200022_at,20588.7,P,0.000244
200023_s_at,11753.3,P,0.000244
200024_at,12932.2,P,0.000732
200025_s_at,19342.5,P,0.000244
200026_at,32008.7,P,0.000732
200027_at,2638.1,P,0.000244
200028_s_at,2374.8,P,0.000244
200029_at,22995.5,P,0.000244
200030_s_at,10989.9,P,0.000244
200031_s_at,44896.7,P,0.000244
200032_s_at,32729.6,P,0.000244
200033_at,10179.5,P,0.000244
200034_s_at,18073.2,P,0.000244
200035_at,1567.5,P,0.001953
200036_s_at,12774.1,P,0.000244
200037_s_at,3555.3,P,0.000732
200038_s_at,21178.3,P,0.000244
200039_s_at,2192.1,P,0.000732
200040_at,5155.3,P,0.000244
200041_s_at,9016.8,P,0.000244
200042_at,1386.7,P,0.00293
200043_at,7366.2,P,0.000732
200044_at,3712.3,P,0.000244
200045_at,1444.7,P,0.000244
200046_at,1864.9,P,0.000244
200047_s_at,2175.4,P,0.000244
200048_s_at,3005.9,P,0.000244
200049_at,911,P,0.000244
200050_at,2115.6,P,0.001221
200051_at,476.4,P,0.000244
200052_s_at,3315.4,P,0.000244
200053_at,1510.9,P,0.000244
200054_at,315.2,P,0.018555
200055_at,3613.3,P,0.000244
200056_s_at,229,P,0.037598
200057_s_at,12446.7,P,0.000244
200058_s_at,3869.6,P,0.000244
200059_s_at,6885.7,P,0.000244
200060_s_at,3012.6,P,0.000732
200061_s_at,26022,P,0.000244
200062_s_at,35305.1,P,0.000244
200063_s_at,10369.5,P,0.000244
200064_at,9408.3,P,0.000732
200065_s_at,4445.6,P,0.000244
200066_at,788.6,P,0.000244
200067_x_at,2201.5,P,0.000732
200068_s_at,5659.2,P,0.000244
200069_at,676,P,0.000732
200070_at,389.1,P,0.00293
200071_at,539,P,0.008057
200072_s_at,5847.5,P,0.000244
200073_s_at,3500.2,P,0.000244
200074_s_at,7004.4,P,0.000244
200075_s_at,1036.9,P,0.001953
200076_s_at,1152.7,P,0.001953
200077_s_at,13906.6,P,0.000244
200078_s_at,2228.9,P,0.00415
200079_s_at,3224.7,P,0.000244
200080_s_at,17390.8,P,0.000244
200081_s_at,26489.6,P,0.000244
200082_s_at,22220.3,P,0.000244
200083_at,2791.9,P,0.000732
200084_at,2960.6,P,0.000244
200085_s_at,2509.6,P,0.000244
200086_s_at,2826.9,P,0.000244
200087_s_at,1969.5,P,0.000244
200088_x_at,16656.3,P,0.000244
200089_s_at,10172.1,P,0.000244
200090_at,3215.6,P,0.000244
200091_s_at,6696,P,0.000244
200092_s_at,14421.7,P,0.000244
200093_s_at,1438,P,0.000244
200094_s_at,6783,P,0.000244
200095_x_at,47042.3,P,0.000244
200096_s_at,1800,P,0.000244
200097_s_at,3890.1,P,0.000244
200098_s_at,2557.3,P,0.000732
200099_s_at,32892.8,P,0.000244
200593_s_at,4157.5,P,0.000244
200594_x_at,5395.9,P,0.000244
200595_s_at,1502.5,P,0.000244
200596_s_at,1070.3,P,0.000244
200597_at,604.8,P,0.000244
200598_s_at,1250.2,P,0.000244
200599_s_at,2960.2,P,0.000244
200600_at,5377.3,P,0.000244
200601_at,1629.4,P,0.000732
200602_at,478.7,P,0.00293
200603_at,1580.2,P,0.000244
200604_s_at,2267.3,P,0.000244
200605_s_at,2717.7,P,0.000244
200606_at,109.8,A,0.129639
200607_s_at,2152.5,P,0.000732
200608_s_at,1158.3,P,0.000732
200609_s_at,2886.8,P,0.000244
200610_s_at,6550.7,P,0.001221
200611_s_at,3276.6,P,0.000732
200612_s_at,247,A,0.219482
200613_at,1484,P,0.001953
200614_at,5035,P,0.000244
200615_s_at,413.9,A,0.067627
200616_s_at,12.4,A,0.72583
200617_at,1151.5,P,0.00415
200618_at,2284.8,P,0.001953
200619_at,2899,P,0.008057
200620_at,2416.9,P,0.000732
200621_at,675.8,P,0.018555
200622_x_at,1119.6,P,0.010742
200623_s_at,4066.6,P,0.000244
200624_s_at,3560.7,P,0.000732
200625_s_at,3221,P,0.000244
200626_s_at,2319.9,P,0.000244
200627_at,9305.6,P,0.000244
200628_s_at,230.8,A,0.633789
200629_at,335.9,P,0.018555
200630_x_at,6505.5,P,0.000244
200631_s_at,7141.6,P,0.000244
200632_s_at,254.8,P,0.008057
200633_at,26332.7,P,0.000244
200634_at,8128.9,P,0.000244
200635_s_at,160.6,A,0.171387
200636_s_at,521.1,P,0.030273
200637_s_at,95.8,A,0.5
200638_s_at,5188.4,P,0.000244
200639_s_at,3923.8,P,0.000732
200640_at,9094.9,P,0.000244
200641_s_at,7734.5,P,0.000244
200642_at,3054.1,P,0.000732
200643_at,543.1,A,0.111572
200644_at,4212.5,P,0.000244
200645_at,6011.2,P,0.000244
200646_s_at,167,A,0.303711
200647_x_at,4560.8,P,0.000732
200648_s_at,278.7,A,0.171387
200649_at,879.4,P,0.000732
200650_s_at,10061.1,P,0.000244
200651_at,25929.5,P,0.000244
200652_at,2508.8,P,0.000732
200653_s_at,2122.9,P,0.000244
200654_at,3442.5,P,0.01416
200655_s_at,4011.1,P,0.000244
200656_s_at,797.8,P,0.001953
200657_at,7692.5,P,0.000244
200658_s_at,1152.1,P,0.000732
200659_s_at,866.9,P,0.005859
200660_at,361.2,A,0.19458
200661_at,739.4,P,0.037598
200662_s_at,2906.6,P,0.000732
200663_at,2872.6,P,0.000732
200664_s_at,655.8,P,0.030273
200665_s_at,218.5,A,0.067627
200666_s_at,1431.7,P,0.000732
200667_at,2350.3,P,0.000244
200668_s_at,5406.3,P,0.000244
200669_s_at,3727.1,P,0.000244
200670_at,5167.9,P,0.000732
200671_s_at,1555.9,P,0.001221
200672_x_at,4455.4,P,0.000244
200673_at,4996.9,P,0.000244
200674_s_at,35231.2,P,0.000244
200675_at,3907.4,P,0.000244
200676_s_at,290.6,P,0.00293
200677_at,1244.9,P,0.001953
200678_x_at,1548.2,P,0.00293
200679_x_at,7204.2,P,0.000244
200680_x_at,17985,P,0.000244
200681_at,1510.3,P,0.000732
200682_s_at,2128.8,P,0.000244
200683_s_at,1401.1,P,0.001953
