ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1081.4,P,0.004863
1053_at,369.4,P,0.005643
117_at,142.2,A,0.339558
121_at,1430.8,P,0.005643
1255_g_at,119,A,0.127645
1294_at,1873.2,P,0.000266
1316_at,187.1,P,0.017001
1320_at,23.7,A,0.824011
1405_i_at,896.4,P,0.001755
1431_at,142.2,P,0.035139
1438_at,215.1,A,0.204022
1487_at,617.9,A,0.098054
1494_f_at,326,P,0.048995
1598_g_at,731.3,P,0.031336
160020_at,513.2,P,0.019304
1729_at,594.1,P,0.007543
1773_at,224.8,A,0.267463
177_at,80.5,A,0.621816
179_at,767.7,P,0.006532
1861_at,145.6,A,0.339558
200000_s_at,3309.7,P,0.000732
200001_at,3383.8,P,0.000732
200002_at,13031.4,P,0.000244
200003_s_at,22316.8,P,0.000244
200004_at,8110.4,P,0.000244
200005_at,4821.9,P,0.000244
200006_at,5598.9,P,0.000244
200007_at,6059,P,0.000244
200008_s_at,3301.8,P,0.000244
200009_at,7672.5,P,0.000244
200010_at,17566.2,P,0.000244
200011_s_at,1452.4,P,0.000244
200012_x_at,17307.3,P,0.000244
200013_at,13380.2,P,0.000244
200014_s_at,2324.6,P,0.000244
200015_s_at,1719.9,P,0.000732
200016_x_at,21716.4,P,0.000244
200017_at,10629.8,P,0.000732
200018_at,22648.4,P,0.000244
200019_s_at,19311.5,P,0.000244
200020_at,2109.1,P,0.000244
200021_at,30138,P,0.001953
200022_at,15964.3,P,0.000244
200023_s_at,11134.1,P,0.000244
200024_at,9775.6,P,0.000732
200025_s_at,23368.5,P,0.000244
200026_at,39713.6,P,0.000732
200027_at,2663.3,P,0.000244
200028_s_at,2188.9,P,0.000732
200029_at,20432.8,P,0.000244
200030_s_at,6650.7,P,0.000244
200031_s_at,28261.8,P,0.000244
200032_s_at,31872.1,P,0.000244
200033_at,11114.8,P,0.000244
200034_s_at,16866.7,P,0.000244
200035_at,1969.2,P,0.001953
200036_s_at,9764.9,P,0.000244
200037_s_at,3231.1,P,0.000244
200038_s_at,20742.8,P,0.000244
200039_s_at,1876.9,P,0.000244
200040_at,2757.3,P,0.000732
200041_s_at,9917.1,P,0.000244
200042_at,1321.7,P,0.005859
200043_at,5638.6,P,0.000732
200044_at,3602.1,P,0.000732
200045_at,1573,P,0.000732
200046_at,1192.5,P,0.000732
200047_s_at,2090.1,P,0.000244
200048_s_at,3507.7,P,0.000244
200049_at,633.2,P,0.000244
200050_at,1849,P,0.000244
200051_at,650.1,P,0.000732
200052_s_at,2510.9,P,0.000244
200053_at,1418.1,P,0.000732
200054_at,261.1,P,0.00415
200055_at,2862.5,P,0.000244
200056_s_at,341.1,P,0.008057
200057_s_at,10156.6,P,0.000244
200058_s_at,3844.7,P,0.000244
200059_s_at,12800.8,P,0.000244
200060_s_at,3837.2,P,0.001953
200061_s_at,31392.1,P,0.000244
200062_s_at,33325.2,P,0.000244
200063_s_at,10907.1,P,0.000244
200064_at,5684.3,P,0.000732
200065_s_at,4786.2,P,0.000244
200066_at,1307,P,0.000732
200067_x_at,1931,P,0.000244
200068_s_at,3370.7,P,0.000244
200069_at,725.2,P,0.00293
200070_at,754,P,0.001953
200071_at,601.9,P,0.00415
200072_s_at,4812.2,P,0.000244
200073_s_at,3637.1,P,0.000244
200074_s_at,7268.5,P,0.000244
200075_s_at,1736.8,P,0.000732
200076_s_at,809.3,P,0.001221
200077_s_at,13085.5,P,0.000244
200078_s_at,2086.9,P,0.005859
200079_s_at,2820.2,P,0.000732
200080_s_at,18369.5,P,0.000244
200081_s_at,20018.9,P,0.000244
200082_s_at,19611.9,P,0.000244
200083_at,2172.5,P,0.000732
200084_at,2386,P,0.000244
200085_s_at,2238.4,P,0.000244
200086_s_at,2534.4,P,0.000244
200087_s_at,2739.6,P,0.000244
200088_x_at,16359.1,P,0.000244
200089_s_at,13975.7,P,0.000244
200090_at,4238,P,0.000244
200091_s_at,10557.8,P,0.000244
200092_s_at,16152.4,P,0.000244
200093_s_at,2175.6,P,0.000244
200094_s_at,6323.3,P,0.000244
200095_x_at,36967.6,P,0.000244
200096_s_at,1410.1,P,0.000244
200097_s_at,3976.4,P,0.000244
200098_s_at,2094.6,P,0.000244
200099_s_at,25559.2,P,0.000244
200593_s_at,2644.6,P,0.000244
200594_x_at,6231.7,P,0.000244
200595_s_at,1437.3,P,0.000244
200596_s_at,741.1,P,0.001221
200597_at,662.3,P,0.001221
200598_s_at,835.3,P,0.000244
200599_s_at,2175.6,P,0.000244
200600_at,4527.5,P,0.000244
200601_at,1268.7,P,0.00293
200602_at,456.4,P,0.000732
200603_at,1209.3,P,0.000244
200604_s_at,603.7,P,0.000244
200605_s_at,1308.9,P,0.000244
200606_at,163.8,P,0.023926
200607_s_at,1401.5,P,0.001953
200608_s_at,1529,P,0.000244
200609_s_at,2257.7,P,0.001953
200610_s_at,5333.9,P,0.000244
200611_s_at,2578.6,P,0.001953
200612_s_at,196.6,A,0.5
200613_at,1763.7,P,0.001221
200614_at,6003.4,P,0.000244
200615_s_at,380.3,A,0.080566
200616_s_at,475.5,A,0.111572
200617_at,850.6,P,0.008057
200618_at,3050.6,P,0.000244
200619_at,1424,P,0.010742
200620_at,2235.7,P,0.000244
200621_at,848.6,P,0.00293
200622_x_at,782.6,P,0.008057
200623_s_at,3277,P,0.000244
200624_s_at,2925.7,P,0.000244
200625_s_at,3991.5,P,0.000732
200626_s_at,1719.9,P,0.000244
200627_at,6149.8,P,0.000244
200628_s_at,279.6,A,0.533936
200629_at,519.7,P,0.01416
200630_x_at,9446.2,P,0.000244
200631_s_at,5308.4,P,0.000244
200632_s_at,371.2,P,0.000244
200633_at,26799.9,P,0.000244
200634_at,8672.2,P,0.000244
200635_s_at,19.2,A,0.780518
200636_s_at,160.3,A,0.366211
200637_s_at,173.8,A,0.19458
200638_s_at,4277.2,P,0.000244
200639_s_at,4023.8,P,0.000732
200640_at,5996.7,P,0.000244
200641_s_at,3700.1,P,0.000244
200642_at,4381.6,P,0.000244
200643_at,358.9,A,0.19458
200644_at,6681.5,P,0.000244
200645_at,5501.9,P,0.000244
200646_s_at,343.1,P,0.023926
200647_x_at,2163.8,P,0.00293
200648_s_at,459.6,A,0.095215
200649_at,874.5,P,0.001221
200650_s_at,6357.9,P,0.000244
200651_at,22106.2,P,0.000244
200652_at,2243.1,P,0.000732
200653_s_at,2514.2,P,0.000244
200654_at,3666.3,P,0.008057
200655_s_at,5144.9,P,0.000244
200656_s_at,1080.5,P,0.001221
200657_at,7960.7,P,0.000244
200658_s_at,1318.3,P,0.000244
200659_s_at,607.2,P,0.00415
200660_at,280,A,0.149658
200661_at,444.6,A,0.095215
200662_s_at,1818.1,P,0.000244
200663_at,1645.7,P,0.001953
200664_s_at,800.7,P,0.008057
200665_s_at,12.4,A,0.665527
200666_s_at,2072.3,P,0.000244
200667_at,1849.9,P,0.000244
200668_s_at,4207,P,0.000244
200669_s_at,2071.5,P,0.000244
200670_at,4959.9,P,0.000244
200671_s_at,797.2,P,0.018555
200672_x_at,1687.2,P,0.000244
200673_at,3279.5,P,0.001221
200674_s_at,31241.1,P,0.000244
200675_at,4126.5,P,0.000244
200676_s_at,419.3,P,0.001221
200677_at,1492.1,P,0.000244
200678_x_at,1030.6,P,0.023926
200679_x_at,10606.8,P,0.000244
200680_x_at,22688.2,P,0.000244
200681_at,1329.4,P,0.000732
200682_s_at,2392,P,0.000732
200683_s_at,974.6,P,0.00415
200684_s_at,668.1,P,0.005859
200685_at,455.2,P,0.000732
200686_s_at,2753.2,P,0.000244
200687_s_at,1254.1,P,0.001953
200688_at,332.3,A,0.095215
200689_x_at,23603.2,P,0.000244
200690_at,278.4,A,0.219482
200691_s_at,1062.8,P,0.000244
200692_s_at,1334.5,P,0.001953
200693_at,4966.7,P,0.000244
200694_s_at,1373.2,P,0.000244
200695_at,1777,P,0.008057
200696_s_at,2962.5,P,0.000244
200697_at,1003.2,P,0.018555
200698_at,800.8,P,0.000244
200699_at,625.9,P,0.005859
200700_s_at,1637.8,P,0.000244
200701_at,1440.8,P,0.000244
200702_s_at,463.5,A,0.095215
200703_at,4157.6,P,0.000732
200704_at,1213.9,P,0.000732
200705_s_at,8827.6,P,0.000244
200706_s_at,1051.8,P,0.018555
200707_at,946.6,P,0.00293
200708_at,758.4,P,0.001953
200709_at,3704.9,P,0.000244
200710_at,1733.2,P,0.00293
200711_s_at,1353.5,P,0.000732
200712_s_at,737.3,P,0.001221
200713_s_at,3233.6,P,0.000732
200714_x_at,2910.6,P,0.000244
200715_x_at,11548.7,P,0.000244
200716_x_at,43826.1,P,0.000244
200717_x_at,28042.4,P,0.000244
200718_s_at,6850.5,P,0.000244
200719_at,535.8,P,0.008057
200720_s_at,656.1,P,0.01416
200721_s_at,843,P,0.005859
200722_s_at,1784,P,0.000732
200723_s_at,3000.5,P,0.000244
200724_at,184,A,0.19458
200725_x_at,38920.9,P,0.000244
200726_at,1999.7,P,0.000244
200727_s_at,488.5,P,0.037598
200728_at,4412.9,P,0.000244
200729_s_at,2541.9,P,0.000244
