ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1807,P,0.00418
1053_at,496.1,P,0.001354
117_at,171.8,A,0.150527
121_at,1502.7,P,0.014937
1255_g_at,62.6,A,0.5
1294_at,959,P,0.000388
1316_at,107.7,A,0.127645
1320_at,25.9,A,0.732537
1405_i_at,226.2,P,0.012921
1431_at,75.7,A,0.204022
1438_at,166.5,A,0.438361
1487_at,499.4,M,0.060419
1494_f_at,348.5,A,0.07383
1598_g_at,759.5,P,0.043968
160020_at,1026.9,P,0.039365
1729_at,292.4,A,0.066865
1773_at,154.9,A,0.218983
177_at,94.6,A,0.189687
179_at,750.5,A,0.089405
1861_at,228.7,A,0.150527
200000_s_at,3896.9,P,0.000244
200001_at,3591.4,P,0.001953
200002_at,10267.2,P,0.000244
200003_s_at,22170.4,P,0.000244
200004_at,7257.4,P,0.000244
200005_at,3536.4,P,0.000244
200006_at,3867.4,P,0.000732
200007_at,7113.2,P,0.000244
200008_s_at,7741.1,P,0.000244
200009_at,11324.8,P,0.000244
200010_at,13408.8,P,0.000244
200011_s_at,2145.2,P,0.000732
200012_x_at,15978.4,P,0.000244
200013_at,10553,P,0.000244
200014_s_at,2077.5,P,0.000244
200015_s_at,1726.9,P,0.000244
200016_x_at,20652.3,P,0.000244
200017_at,9866,P,0.001221
200018_at,22363.5,P,0.000244
200019_s_at,18008.1,P,0.000244
200020_at,2220.4,P,0.000244
200021_at,34313.6,P,0.001221
200022_at,18816.3,P,0.000244
200023_s_at,17812,P,0.000244
200024_at,11441.5,P,0.001221
200025_s_at,17944,P,0.000244
200026_at,27364,P,0.000732
200027_at,2662.1,P,0.000244
200028_s_at,2448.9,P,0.000732
200029_at,22989.8,P,0.000244
200030_s_at,5457.3,P,0.000244
200031_s_at,38356.3,P,0.000244
200032_s_at,34838.4,P,0.000244
200033_at,12971,P,0.000244
200034_s_at,11224.3,P,0.000244
200035_at,1872.2,P,0.000732
200036_s_at,10992.6,P,0.000244
200037_s_at,2921,P,0.000244
200038_s_at,20739.2,P,0.000244
200039_s_at,2043.6,P,0.000244
200040_at,3569.5,P,0.000244
200041_s_at,8296.9,P,0.000244
200042_at,1828.5,P,0.00415
200043_at,7757.3,P,0.000732
200044_at,2797.7,P,0.000244
200045_at,2137.5,P,0.000244
200046_at,1935.2,P,0.000732
200047_s_at,2284.7,P,0.000244
200048_s_at,3058.2,P,0.000244
200049_at,1228.5,P,0.000244
200050_at,1150,P,0.000244
200051_at,647.4,P,0.000244
