ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1224.1,P,0.003067
1053_at,445.7,P,0.002617
117_at,121.7,A,0.267463
121_at,1320.9,P,0.017001
1255_g_at,77.5,A,0.5
1294_at,703.2,P,0.000468
1316_at,173.1,P,0.017001
1320_at,16.1,A,0.918663
1405_i_at,137.5,P,0.042142
1431_at,22.1,A,0.458816
1438_at,36.4,A,0.52062
1487_at,402.6,A,0.098054
1494_f_at,435.3,P,0.048995
1598_g_at,728.6,A,0.066865
160020_at,651.4,P,0.014937
1729_at,368.3,P,0.006532
1773_at,82.4,A,0.602006
177_at,94.6,A,0.284747
179_at,667.5,A,0.250724
1861_at,132.1,A,0.5
200000_s_at,4057.1,P,0.000244
200001_at,3347.2,P,0.000732
200002_at,14726.7,P,0.000244
200003_s_at,27142.3,P,0.000244
200004_at,7888.2,P,0.000244
200005_at,5782.3,P,0.000244
200006_at,5474.5,P,0.000244
200007_at,7553.1,P,0.000244
200008_s_at,4433.4,P,0.000244
200009_at,10210.9,P,0.000244
200010_at,20635.8,P,0.000244
200011_s_at,1671.2,P,0.000244
200012_x_at,19994.6,P,0.000244
200013_at,17480.1,P,0.000244
200014_s_at,3544.7,P,0.000244
200015_s_at,3200.4,P,0.000732
200016_x_at,23472.4,P,0.000244
200017_at,20927.8,P,0.000244
200018_at,26739.1,P,0.000244
200019_s_at,16015.9,P,0.000244
200020_at,2044.4,P,0.000244
200021_at,22006.5,P,0.001953
200022_at,23423.5,P,0.000244
200023_s_at,11762.4,P,0.000244
200024_at,14049.3,P,0.000244
200025_s_at,26295.1,P,0.000244
200026_at,38404.4,P,0.000244
200027_at,3668.3,P,0.000244
200028_s_at,3265.4,P,0.000244
200029_at,30349.2,P,0.000244
200030_s_at,8042.3,P,0.000244
200031_s_at,40415.4,P,0.000244
200032_s_at,38789.5,P,0.000244
200033_at,13775.3,P,0.000244
200034_s_at,20330.4,P,0.000244
200035_at,1421.3,P,0.000732
200036_s_at,18997.1,P,0.000244
200037_s_at,3368.9,P,0.000244
200038_s_at,27968.7,P,0.000244
200039_s_at,2123.2,P,0.000244
200040_at,4207.2,P,0.000244
200041_s_at,9505.4,P,0.000244
200042_at,1080.8,P,0.001953
200043_at,9688.2,P,0.000732
200044_at,3473.2,P,0.000244
200045_at,1751.1,P,0.000732
200046_at,2287.4,P,0.000244
200047_s_at,3058.5,P,0.000244
200048_s_at,3575.5,P,0.000244
200049_at,1208.8,P,0.000732
200050_at,2393,P,0.000244
200051_at,608.9,P,0.00293
200052_s_at,3075.1,P,0.000244
200053_at,2399.2,P,0.000244
200054_at,360.3,P,0.001953
200055_at,1855.6,P,0.000244
200056_s_at,685.2,P,0.000732
200057_s_at,15064.3,P,0.000244
200058_s_at,3150.8,P,0.000244
200059_s_at,14225.7,P,0.000244
200060_s_at,3038.8,P,0.001221
200061_s_at,34869.4,P,0.000244
200062_s_at,40529.3,P,0.000244
200063_s_at,14099.9,P,0.000244
200064_at,15708.4,P,0.000244
200065_s_at,2989.5,P,0.000244
200066_at,1893.4,P,0.000244
200067_x_at,3614.5,P,0.000244
200068_s_at,5522.3,P,0.000244
200069_at,1011,P,0.001221
200070_at,579.5,P,0.000732
200071_at,1356.6,P,0.001953
200072_s_at,4702.6,P,0.000244
200073_s_at,3990.6,P,0.000244
200074_s_at,8773.2,P,0.000244
200075_s_at,550,P,0.000732
200076_s_at,1014.8,P,0.001953
200077_s_at,11431.9,P,0.000244
200078_s_at,2044.1,P,0.005859
200079_s_at,3816.5,P,0.000732
200080_s_at,16347.7,P,0.000244
200081_s_at,29804.5,P,0.000244
200082_s_at,21278.8,P,0.000244
200083_at,3568.4,P,0.000732
200084_at,3057.4,P,0.000244
200085_s_at,2371,P,0.000244
200086_s_at,3402.2,P,0.000244
200087_s_at,3580,P,0.000244
200088_x_at,23751.5,P,0.000244
200089_s_at,14157.1,P,0.000244
200090_at,5007.3,P,0.000244
200091_s_at,12350.5,P,0.000244
200092_s_at,19766.5,P,0.000244
200093_s_at,4121.7,P,0.000244
200094_s_at,5824.1,P,0.000732
200095_x_at,45557,P,0.000244
200096_s_at,2284.7,P,0.000244
200097_s_at,3704.1,P,0.000244
200098_s_at,3980.9,P,0.001221
200099_s_at,39308.1,P,0.000244
200593_s_at,1895.3,P,0.000244
200594_x_at,6556.3,P,0.000244
200595_s_at,3034.2,P,0.000244
200596_s_at,1063.7,P,0.000244
200597_at,829.1,P,0.000732
200598_s_at,1226.9,P,0.000244
200599_s_at,3717,P,0.000244
200600_at,8471.7,P,0.000244
200601_at,647.3,P,0.00415
200602_at,1273.3,P,0.000244
200603_at,3203.7,P,0.000244
200604_s_at,836.4,P,0.000244
200605_s_at,3152.6,P,0.000244
200606_at,158.9,P,0.030273
200607_s_at,1837.6,P,0.000244
200608_s_at,2716.8,P,0.000244
200609_s_at,3828.3,P,0.000244
200610_s_at,8819.3,P,0.000732
200611_s_at,2970.4,P,0.001953
200612_s_at,238,A,0.27417
200613_at,1157.4,P,0.001953
200614_at,6845.5,P,0.000244
200615_s_at,689.6,M,0.056152
200616_s_at,64.6,A,0.665527
200617_at,905.7,P,0.000732
200618_at,3616.7,P,0.000732
200619_at,1283.1,P,0.00415
200620_at,2771.5,P,0.000244
200621_at,384.3,P,0.037598
200622_x_at,439.7,A,0.111572
200623_s_at,2261,P,0.000244
200624_s_at,5256.8,P,0.000244
200625_s_at,4364,P,0.000244
200626_s_at,4238.6,P,0.000732
200627_at,7178.6,P,0.000244
200628_s_at,202.1,A,0.633789
200629_at,452.6,P,0.01416
200630_x_at,5107.5,P,0.000244
200631_s_at,6911.9,P,0.000244
200632_s_at,1175.5,P,0.000732
200633_at,25646.2,P,0.000244
200634_at,12936.6,P,0.000244
200635_s_at,67.5,A,0.432373
200636_s_at,33.9,A,0.888428
200637_s_at,13.7,A,0.850342
200638_s_at,5093.3,P,0.000244
200639_s_at,6527.8,P,0.000244
200640_at,11991,P,0.000244
200641_s_at,3703,P,0.000244
200642_at,12264.8,P,0.000244
200643_at,356.4,M,0.056152
200644_at,6021.6,P,0.000244
200645_at,7280.2,P,0.000244
200646_s_at,154.9,A,0.219482
200647_x_at,2563.5,P,0.001953
200648_s_at,68.6,A,0.334473
200649_at,365.4,P,0.01416
200650_s_at,7000.9,P,0.000244
200651_at,22201.4,P,0.000244
200652_at,2233.6,P,0.000732
200653_s_at,4120.3,P,0.000244
200654_at,3290.6,P,0.018555
200655_s_at,5259.5,P,0.000244
200656_s_at,533.3,P,0.001953
200657_at,12634.6,P,0.000244
200658_s_at,1779.2,P,0.000244
200659_s_at,1765.3,P,0.000244
200660_at,7.8,A,0.960938
200661_at,488.4,A,0.129639
200662_s_at,3439,P,0.000244
200663_at,2452.5,P,0.000732
200664_s_at,205.7,A,0.111572
200665_s_at,214.7,A,0.149658
200666_s_at,1230.5,P,0.000244
200667_at,2920.3,P,0.000244
200668_s_at,7384,P,0.000244
200669_s_at,4071.3,P,0.000244
200670_at,10404.8,P,0.000244
200671_s_at,21.8,A,0.696289
200672_x_at,674.4,M,0.056152
200673_at,2889.7,P,0.000244
200674_s_at,36957,P,0.000244
200675_at,4000.4,P,0.000244
200676_s_at,547.8,P,0.000732
200677_at,3636.8,P,0.000244
200678_x_at,1356.4,P,0.00415
200679_x_at,3737.7,P,0.000244
200680_x_at,11416.6,P,0.000244
200681_at,3032.6,P,0.000244
200682_s_at,1600.6,P,0.000244
200683_s_at,1460.5,P,0.023926
200684_s_at,891,P,0.001953
200685_at,525.6,P,0.001953
200686_s_at,3317.9,P,0.000244
200687_s_at,1099.5,P,0.001221
200688_at,283.9,P,0.046143
200689_x_at,22227.6,P,0.000244
200690_at,375.8,A,0.111572
200691_s_at,1727,P,0.000244
200692_s_at,1292.7,P,0.000244
200693_at,7941.2,P,0.000244
200694_s_at,2934.6,P,0.00293
200695_at,687.2,A,0.067627
200696_s_at,1167.9,P,0.001953
200697_at,705.3,P,0.010742
200698_at,633.8,P,0.000244
200699_at,770.1,P,0.018555
200700_s_at,1131.2,P,0.000244
200701_at,2946.9,P,0.000244
200702_s_at,173.1,A,0.432373
200703_at,5939.9,P,0.000244
200704_at,424.6,A,0.366211
200705_s_at,13365.2,P,0.000244
200706_s_at,178.3,A,0.19458
200707_at,353.9,A,0.080566
200708_at,1912.4,P,0.000244
200709_at,3971.8,P,0.000244
200710_at,2487,P,0.001953
200711_s_at,1414.9,P,0.000244
200712_s_at,807.2,P,0.001221
200713_s_at,3530.7,P,0.000732
200714_x_at,3124,P,0.000244
