ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
1007_s_at,1329.7,P,0.000562
1053_at,189.9,P,0.009985
117_at,238.8,A,0.098054
121_at,1146.9,P,0.008689
1255_g_at,78.1,A,0.098054
1294_at,529.8,P,0.00418
1316_at,93.9,P,0.035163
1320_at,65.7,A,0.561639
1405_i_at,56.7,A,0.216313
1431_at,110.4,P,0.017001
1438_at,41.6,A,0.581931
1487_at,538.8,M,0.060419
1494_f_at,308,P,0.035163
1598_g_at,721,P,0.048995
160020_at,841.3,P,0.017001
1729_at,126.4,A,0.250724
1773_at,125.8,A,0.418069
177_at,225.6,P,0.048995
179_at,1169.3,P,0.048995
1861_at,203.6,A,0.107301
200000_s_at,2724.2,P,0.000244
200001_at,6585.9,P,0.000244
200002_at,17658.6,P,0.000244
200003_s_at,38866.3,P,0.000244
200004_at,14668.1,P,0.000244
200005_at,11632.6,P,0.000244
200006_at,4356.5,P,0.000244
200007_at,6895.1,P,0.000244
200008_s_at,8158.5,P,0.000244
200009_at,14493.5,P,0.000244
200010_at,31403.6,P,0.000244
200011_s_at,1412.5,P,0.000732
200012_x_at,23182.8,P,0.000244
200013_at,18452.8,P,0.000244
200014_s_at,2181.9,P,0.000244
200015_s_at,3813.4,P,0.000732
200016_x_at,24252.6,P,0.000244
200017_at,36430,P,0.000244
200018_at,37388.7,P,0.000244
200019_s_at,31031.1,P,0.000244
200020_at,4449.9,P,0.000244
200021_at,33154.1,P,0.001221
200022_at,37006.7,P,0.000244
200023_s_at,16135.4,P,0.000244
200024_at,30270.2,P,0.000732
200025_s_at,28132,P,0.000244
200026_at,28548.5,P,0.000732
200027_at,3302.3,P,0.000244
200028_s_at,2702.1,P,0.000244
200029_at,22235.6,P,0.000244
200030_s_at,18304.3,P,0.000244
200031_s_at,53078.3,P,0.000244
200032_s_at,34325.4,P,0.000244
200033_at,14903.2,P,0.000244
200034_s_at,23625.5,P,0.000244
200035_at,1033.5,P,0.008057
200036_s_at,22078.5,P,0.000244
